Name,Discount_price,Actual_price,Rating_stars
H20 Smart Watch  10in1,"₦ 38,500","₦ 46,000",No rating
I8 Ultra Combo Smart Watch BIGGER SCREEN 2.0,"₦ 21,500","₦ 26,500",No rating
Zealot S77 Waterproof Bluetooth Speaker,"₦ 30,500","₦ 31,500",No rating
Ultra 8 Smart Watch With 10in1 High Quality Straps,"₦ 38,500","₦ 48,000",No rating
Floral Set Phone +Cable Protection Case 11ProMax,"₦ 8,999","₦ 12,000",No rating
Sucker Car Phone Holder Mount Stand GPS Telefon Mobile Cell Support For IPhone 12 11 Pro Max X 7 8 Plus Xiaomi Redmi Huawei,"₦ 6,500",No old_price,No rating
Oraimo PowerHub 2 1.5M 6-in-1 Power Cube,"₦ 20,500","₦ 22,000",No rating
Sucker Car Phone Holder Mount Stand GPS Telefon Mobile Cell Support For IPhone 12 11 Pro Max X 7 8 Plus Xiaomi Redmi Huawei,"₦ 6,500",No old_price,No rating
Ultra 8 Combo Package,"₦ 64,500","₦ 75,000",No rating
Oraimo OraiImo 12W 27000mAh 3 Built-in Fast Charging Cables Power Bank,"₦ 43,000","₦ 55,008",No rating
V9 Ultra 2 AMOLED,"₦ 62,500","₦ 72,000",No rating
Floral Set Phone +Cable Protection Case 11ProMax,"₦ 8,999","₦ 12,000",No rating
Floral Set Phone +Cable Protection Case 12ProMax,"₦ 8,999","₦ 12,000",No rating
Sucker Car Phone Holder Mount Stand GPS Telefon Mobile Cell Support For IPhone 12 11 Pro Max X 7 8 Plus Xiaomi Redmi Huawei,"₦ 6,500",No old_price,No rating
Fitpro T55 Pro Max Smart Watch,"₦ 21,500","₦ 22,000",No rating
"Universal Stylus Pen For Ios, Android And Windows","₦ 14,000","₦ 25,000",No rating
I20 Ultra Suit Smart Watch With 10 In1 High Quality Straps,"₦ 33,500",No old_price,No rating
Koleer S29Bluetooth Speaker,"₦ 18,500","₦ 25,000",No rating
Floral Set Phone +Cable Protection Case 14ProMax,"₦ 8,999","₦ 12,000",No rating
Bafang Baofeng Latest Baofeng BF-888s 2-way Radios Walkie Talkies,"₦ 17,800","₦ 22,000",No rating
CAT HEADPHONES,"₦ 12,000","₦ 18,000",No rating
Basues Bowie H1i Headphones,"₦ 95,000","₦ 115,000",No rating
Hello 3,"₦ 65,500","₦ 75,000",No rating
V9+ Pro Max AMOLED,"₦ 68,500","₦ 72,000",No rating
Ultra 8 Combo Package,"₦ 54,500","₦ 75,000",No rating
H20 Smart Watch  10in1,"₦ 38,500","₦ 46,000",No rating
Watch 9,"₦ 63,500","₦ 72,000",No rating
For Iphone 8 Plus 7 6 6s 5 5s 5c 5se 4 4s Without Lcd 3d Touch Function Backlight Panel Back Light Backlight Film,"₦ 25,704","₦ 43,697",No rating
Zonbema 100pcs For Vivo Y51 Y53 Y55 Y66 Y67 Y71 Y75 Y79 Y85 Y91 Y93 Y97 Back Rear Camera Gl Lens With Glue Repair Spare Parts,"₦ 59,085","₦ 100,434",No rating
For Vivo Y15/ Y3 Power Volume Side Key on Flex Cable For Vivo Y15/ Y3 On Off Switch Flex Cable Replacement Repair Parts,"₦ 35,037","₦ 59,569",No rating
For Anker MagGo Magnetic 3-in-1 Wireless Charger Storage Bag,"₦ 7,997","₦ 11,363",No rating
For Moto E5 Play Go Touch Screen Panel Sensor For Moto E5 Play XT1920 XT1921 Digitizer Glass Replacement,"₦ 56,713","₦ 96,409",No rating
Home on With Flex Cable For Iphone 6 6s 6plus 6splus Home on Flex embly Shipping,"₦ 28,998","₦ 49,313",No rating
For Iphone 6 6plus 6s 6sp 7 7plus 8 X 8plus Xs Xr Xax/ipad Pro Nand Flash Memory Ic 16g 32g 64g 128g 256g 512g With Programmed,"₦ 55,277","₦ 93,971",No rating
S22 S23 S21 Ultra Outer Screen For Galaxy S10 5G S20 Plus S8 Plus S9 Front Touch Panel LCD Display Repair Parts + OCA,"₦ 55,465","₦ 94,284",No rating
Yuxi For Huawei Mediapad M2 M3 Lite T1-821w T1-823l T1-701u Bg2-w09 Bg2-u01 Ags-l09 Lcd Motherboard Display Connector Flex Cable,"₦ 34,669","₦ 58,934",No rating
100% For Iphone 6 6s 7 8 Plus Real Camera For Iphone X Xs Max Xr Back Camera Flex Cable Phone Parts Replacement,"₦ 90,631","₦ 154,074",No rating
Watch Series Smart Watch Bluetooth Call Health & Multifunction - Black,"₦ 15,000",No old_price,No rating
For Alcatel 9032 9032T 9032Z 9032X 9032W 3T / Joy Tab 2 Touch Screen Digitizer Sensor Panel Replacement Repair parts,"₦ 66,863","₦ 113,668",No rating
Power Volume Flex Cable For Huawei Mate 7 8 9 10 20 20x 30 S Lite Pro Max Side Power Volume ons Flex Ribbon Cable Repair,"₦ 26,255","₦ 44,630",No rating
For Iphone 8 Plus 7 6 6s 5 5s 5c 5se 4 4s Without Lcd 3d Touch Function Backlight Panel Back Light Backlight Film,"₦ 30,294","₦ 51,500",No rating
Mobile Phone Radiator For IPhone 13 Pro Max Universal Phone Cooler Game Cooling Controller Portable Fan Holder Heat Sink,"₦ 33,900","₦ 58,448",No rating
Damaged Bad Board Motherboard No Nand Disembly For Iphone 6 6s 5s 7 8 Plus 8p X Xs Xr 11 Pro Max 7p Repair Training Practice,"₦ 52,505","₦ 89,262",No rating
Lcd Motherboard Flex Cable For Samsung Galaxy Tab A 10.1 -T510 T515 Main Flex Cable Ribbon,"₦ 36,239","₦ 61,606",No rating
Oraimo PROFESSIONAL DENTAL CARE TOOTHBRUSH,"₦ 66,500","₦ 68,000",No rating
Damaged Bad Board Motherboard No Nand Disembly For Iphone 6 6s 5s 7 8 Plus 8p X Xs Xr 11 Pro Max 7p Repair Training Practice,"₦ 68,737","₦ 116,850",No rating
New For Umidigi A9 Pro / A7 Pro / A11 / Bison / Power 5 / Bison Pro Back Camera Lens Cover Lens A9pro / A7pro Lensglue,"₦ 42,552","₦ 72,344",No rating
Mini Wireless Drill Electric Carving Pen Variable Speed USB Drill Rotary Tools Kit Engraver Pen for Grinding Polishing,"₦ 60,254","₦ 102,451",No rating
Front Camera Flex Cable For Iphone 11 12 Pro X Xr Xs Max 7 8 Plus Mini Se2 Facing Camera Phone Parts No Face Id,"₦ 42,485","₦ 72,228",No rating
Original OnePlus Buds N Earphone OnePlus Nord Buds Bluetooth 5.2 Magnetic Control Headset For Oneplus 8T 9 Pro 10 Pro Headphone,"₦ 115,695","₦ 170,181",No rating
Mobile Phone Game Video Cooler Cooling Fan Radiator,"₦ 6,455","₦ 7,571",No rating
New Back Camera For Iphone 7 8 7plus 8 Plus 5s 5c 5 Se 6 6s 6s Plus Back Camera Rear Main Lens Flex Cable Replacement Part,"₦ 57,866","₦ 98,380",No rating
Universal Baby Stroller Rain Cover Kid Clear Double Pushchair Twins Pram Buggys,"₦ 34,782","₦ 69,563",No rating
Universal Baby Stroller Rain Cover Kid Clear Double Pushchair Twins Pram Buggys,"₦ 68,470","₦ 102,705",No rating
Repair Part Back Rear Camera Flex For Iphone 6g 6s 7g 8g 8 Plus Xs Xr 11 Pro Max Big Camera Module Flex Cable Ribbon Replacement,"₦ 75,152","₦ 127,753",No rating
KZ AZ10 Bluetooth 5.2 Wireless Ear Hook Earphones Upgrade Cable HiFi Headset Sport Game Headphone Line For KZ ZS10 PRO ZSX ZAS,"₦ 105,003","₦ 154,143",No rating
Quality Front Camera For Iphone 6 6s 7 8 G Plus X Xax Xr all Camera Flex Cable With Face Id Module Auto-Brightness,"₦ 39,529","₦ 67,201",No rating
Front Camera Flex For Samsung Galaxy S3 S4 S5 Mini S6 S7 Edge S8 Plus S2 Face Front Camera Flex all Front Facing Camera,"₦ 28,350","₦ 48,179",No rating
Full Tested Unlocked Replacement Motherboard Mainboard Logic Board For Samsung Galaxy A7 A720f Motherboard With Android System,"₦ 98,530","₦ 167,501",No rating
Unlocked For Lg G3 D855 D852 D851 D850 Motherboard With Full Chips Android System For Replacement Logic Board 4g,"₦ 86,857","₦ 147,661",No rating
New For Samsung Galaxy A12 A125 A125f Home on Fingerprint Sensor Flex With Power Key on Flex Cable,"₦ 35,770","₦ 60,815",No rating
For Anker MagGo Magnetic 3-in-1 Wireless Charger Storage Bag,"₦ 9,230","₦ 13,180",No rating
Edifier Bluetooth 5.0 Wireless Headset L350 Folding Stereo Headset,"₦ 42,782","₦ 60,804",No rating
Front Facing Camera Module For Samsung Galaxy A8 A730f,"₦ 32,548","₦ 55,327",No rating
H20 Smart Watch 10in1,"₦ 30,999",No old_price,No rating
Motor Vibrator Flex Cable For Iphone X Xs Max Xr 7 8 Plus Motor Flex Cable Spare Parts,"₦ 49,637","₦ 84,386",No rating
Alisunny 100pcs Lcd Fpc Flex Cable Cover For Iphone 8 Plus X Xs Max Xr Inner Metal Bracket Clip Holder Parts,"₦ 66,080","₦ 112,347",No rating
Oem Front Facing Camera Module Flex Cable For Iphone X Xs Xr Xs Max 11 11 Pro 6 6s 7 8 Plus Replacement With Auto-brightness,"₦ 88,360","₦ 150,217",No rating
Ultra 8 Smart Watch With 7in1 High Quality Straps,"₦ 26,500","₦ 38,000",No rating
63 in 1 Precision Screwdriver Set Phillips Torx Magnetic Screw Driver Bit Professional Repair Tool Kit for Watch Camera,"₦ 59,516","₦ 101,188",No rating
Main Flex Cable For Samsung A10s A20s A21s A30s A40s A50s A60s A70s A31 A41 A51 A71 Connect Mainboard To Lcd Screen Ribbon,"₦ 32,064","₦ 54,509",No rating
Front Camera Flex Cable For Iphone 11 12 Pro X Xr Xs Max 7 8 Plus Mini Se2 Facing Camera Phone Parts No Face Id,"₦ 44,389","₦ 75,467",No rating
4 Heads 2800RPM Massage Machine Rechargeable Percussion Deep Tissue Muscle Vibration Relaxing Tool Gifts --Red/ Black/ Silver/ Gray Grey-US Plug,"₦ 212,090","₦ 318,135",No rating
Ultra 2 Smart Watch With 7in1 High Quality Straps,"₦ 26,500","₦ 38,000",5
Ultra 8 Combo Package,"₦ 64,500","₦ 75,000",No rating
Photo Front Camera 16.0mp Module For Gionee S10 Lite,"₦ 59,085","₦ 100,434",No rating
1pc 100% Test Back Camera Replacement For Iphone 12 Pro 12 Mini 12 11 Pro Xs Max Xr X Se Main Lens Rear Camera Module Flex,"₦ 85,537","₦ 145,407",No rating
"Screen Replacement For Samsung Galaxy J7 J737tv J737t J737a J737p J737u J7 Star 5.5"" Lcd Display Touch Digitizer Tools","₦ 93,393","₦ 140,090",No rating
P9 PRO MAX Tws Strong Bass Wireless Bluetooth Headsets,"₦ 41,391","₦ 58,712",No rating
Haylou GT5 True Wireless Earbuds BT 5.0 Headphones With Touch Control Dual Hosts Voice Assistance Supports Wireless Charging Headsets With In-ear Detection Battery Indicator For Gaming Sports Gym,"₦ 73,899","₦ 107,474",No rating
Huawei FreeBuds Pro 2 Wireless Bluetooth Headphones In-Ear Music Headphones(Silver),"₦ 420,525","₦ 627,399",No rating
1set Loca Glue Clean Tool 60w 80mm Soldering Iron T-Type Solder Iron Tip Blade Glue Remove Lcd Screen Separator Repair Machine,"₦ 63,310","₦ 107,615",No rating
Vivo Y33 Y35a Y37 Y51 Y55 Y66 Y67 Y31 Y53 Usb Charging Socket Ic Fast Charge Pcb Board Connector Flex Cable artphone,"₦ 58,283","₦ 99,081",No rating
Oem Front Camera Replacement For Motorola Moto Z Xt1650,"₦ 48,848","₦ 83,049",No rating
SUNSHINE SS-918L Screen Separator LCD Separation Machine Support Under 8 inch Build-in Vacuum Pump Rapid Heating Screen,"₦ 117,621","₦ 199,949",No rating
Zealot S39 Bluetooth Speaker,"₦ 84,500","₦ 85,000",No rating
Mechanic Bga Reballing Stencil For Iphone 12 11 Pro Max Xs Xr X 8 8p 7 7p 6s 6sp 6 6p 5 5s Cpu Ram Power Audio Emmc Wifi Ic Chip,"₦ 31,503","₦ 53,550",No rating
Novaphopat Tray For Tecno Spark 4 5 7 Pro 5Pro KC2 KC8 KD7 KF6 CG6 KF7 KG6 LG8 Holder Slot Adapter Reader Pin,"₦ 53,273","₦ 90,547",No rating
