Name,Discount_price,Old_price,Rating_stars
Mobile Phone Screen Magnifier Pullout Creative Stretch 3d Mobile Phone Magnifying Glass Bracket Amplifier,"₦ 4,397",,No rating
Polishing Cloth For Apple Screen Display,"₦ 8,370",,No rating
1 Horse Power Surface Water Pumping Machine +100 % Corper Coil,"₦ 90,000",,No rating
Lightning USB Cable For IPhone X,"₦ 2,500",,No rating
Qiyi 2345678 Rubik&#39;s Cube Pyramid Maple Leaf Five Magic,"₦ 13,500",,No rating
Smart Wrist Watch Bluetooth GSM Phone For Android Samsung IPhone green,"₦ 9,027",,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth In-ear Earbuds,"₦ 6,225",,No rating
Shockproof Armor Case For Infinix Note 40 Pro VIP 12 G96 Hot 40i Play 20i S Zero 30 CAMON 30 4G PRIME CL6 7 Magnetic Cover Ring,"₦ 11,753 - ₦ 17,268",,No rating
1 Pair Finger Covers Universal Breathable Ultrathin Game Controller Fingertips Sleeves Thumb Gloves For GamerGreen,"₦ 1,773",,No rating
Bluetoothcompatible Wireless Remote Control ABS Practical Multifunctional Camera Remote For IPhoneBlack,"₦ 2,694",,No rating
2023 Pro 12 Tablet Android  Pad-Blue,"₦ 186,000",,No rating
E88 Foreign Trade Obstacle Avoidance UAV Folding HD Dual,"₦ 53,300",,No rating
DJI Repair Screwdrivers Tool Set for DJI Mavic 2/2S Phantom 3 4/4 Pro Mavic 2/3 Mini 2/SE/Mini 3 /Mini 3 Pro Spark Avata Drone,"₦ 10,466",,No rating
40W Dual PD USB Multi-port Mobile Phone Fast Charger QC3.0 Fast Charging Head Type-C Adapter European,"₦ 5,346",,No rating
HD USB Webcam Video Recording Built-in Microphone For-Black,"₦ 20,781",,No rating
2PCS Finger Covers Universal Thumb Gloves For Mobile Game,₦ 767,,5
1 Pair Finger Covers Universal Breathable Ultrathin Game Controller Fingertips Sleeves Thumb Gloves For GamerRed,"₦ 1,356",,No rating
2PCS Finger Covers Universal Thumb Gloves For Mobile Game,₦ 767,,4
11Pcs Mobile Phone Opening Pry Tools Kit Screwdriver Set,"₦ 1,926",,No rating
Qiyi 2345678 Rubik&#39;s Cube Pyramid Maple Leaf Five Magic,"₦ 7,000",,4.7
Portable 2-in-1 USB3.0 To TYPE-C OTG Adapter Data-Black,"₦ 1,670",,4.7
TF Hybrid Sim Slot Dual SIM Card Adapter Micro SD Extender,"₦ 1,512",,No rating
2PCS Finger Covers Universal Thumb Gloves For Mobile Game,₦ 767,,5
6pcs Memory Foam Ear Tips Headphone Sponge Headphone Noise,"₦ 2,400",,No rating
H10 4-Finger Dual Cooling Fan Wired Game Controller,"₦ 21,705",,No rating
2PCS Finger Covers Universal Thumb Gloves For Mobile Game,"₦ 1,005",,1
Replacement SIM Card Holder Slot Tray-Silver For IPhone X,"₦ 1,670",,5
Portable 2-in-1 USB3.0 To TYPE-C OTG Adapter Data-Silver,"₦ 1,670",,No rating
2PCS Finger Covers Universal Thumb Gloves For Mobile Game,₦ 767,,1
24 7 FASHION Protective Phone Case Compatible with iPhone 13 Pro,"₦ 2,694",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 3,599",,3
SHARE THIS PRODUCT   Shipped from abroad (Men's)2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 9,702",,No rating
Phone Fish Eye Lens HDcompatible Professional 3 In 1 10X Macro Wide Angle 4K Phone Camera Lens For Taking PhotosBlack,"₦ 5,179",,No rating
Bee Single Row Chain Metal Band for i Watch - Compatible with i Watch Series 1-9 and SE-Black,"₦ 15,939",,No rating
1 Pair Finger Covers Universal Breathable Ultrathin Game Controller Fingertips Sleeves Thumb Gloves For GamerPink,"₦ 1,599",,No rating
Finger Ring Phone Holder 360 Degree Rotatable Strong Adhesiveness Universal Mini Rhinestone Finger Ring Phone Back Sticker Pad Bracket For Outdoor,"₦ 1,025",,No rating
Finger Ring Phone Holder 360 Degree Rotatable Strong Adhesiveness Universal Mini Rhinestone Finger Ring Phone Back Sticker Pad Bracket For Outdoor,₦ 991,,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth In-ear Earbuds,"₦ 6,225",,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth In-ear Earbuds,"₦ 6,225",,No rating
1 Pair Finger Covers Universal Breathable Ultrathin Game Controller Fingertips Sleeves Thumb Gloves For GamerBlue,"₦ 1,529",,No rating
Bluetoothcompatible Remote Control Snapmate Wireless for Phones White,"₦ 5,133",,No rating
Y30 Bluetooth Wireless Earphone Earbuds For Samsung IPhone Apple Xiaomi Huawei Vivo IOS/Android-Black,"₦ 6,225",,No rating
Mobile Phone Screen Magnifier Pullout Creative Stretch 3d Mobile Phone Magnifying Glass Bracket Amplifier,"₦ 4,397",,No rating
Smart Wrist Watch Bluetooth GSM Phone For Android Samsung IPhone green,"₦ 9,027",,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth In-ear Earbuds,"₦ 6,225",,No rating
Shockproof Armor Case For Infinix Note 40 Pro VIP 12 G96 Hot 40i Play 20i S Zero 30 CAMON 30 4G PRIME CL6 7 Magnetic Cover Ring,"₦ 11,753 - ₦ 17,268",,No rating
1 Pair Finger Covers Universal Breathable Ultrathin Game Controller Fingertips Sleeves Thumb Gloves For GamerGreen,"₦ 1,773",,No rating
"MEMO Heatsink Aluminum Chamber,Gaming Cooler For Mobile Phone,cooling USB FAN","₦ 7,061",,No rating
TF Hybrid Sim Slot Dual SIM Card Adapter Micro SD Extender,"₦ 2,913",,No rating
Nia Superb Sound Wireless Headphone 4 In 1,"₦ 15,570",,No rating
DJI Repair Screwdrivers Tool Set for DJI Mavic 2/2S Phantom 3 4/4 Pro Mavic 2/3 Mini 2/SE/Mini 3 /Mini 3 Pro Spark Avata Drone,"₦ 10,466",,No rating
40W Dual PD USB Multi-port Mobile Phone Fast Charger QC3.0 Fast Charging Head Type-C Adapter European,"₦ 5,346",,No rating
For OPPO A5S/A7/12/Realme3 LCD Display Touch Screen Assembly,"₦ 29,490",,No rating
USB Rechargeable Mobile Phone Game Cooler Cooling Fan Radiator,"₦ 7,830",,No rating
Natural  Gold Line Purple Agate  Crystal Bracelet iWatch Band - Handmade Jewelry Strap for I Watch Series 1-9,"₦ 31,348",,No rating
Polishing Cloth For Apple Screen Display,"₦ 8,370",,No rating
Screen Enlarger High Clearly Widely Compatible Acrylic 10/12 Inch Simple Operation Video Amplifier Holder For Watching TV-Black,"₦ 14,381",,No rating
2PCS Finger Covers Universal Thumb Gloves For Mobile Game,₦ 767,,No rating
Qiyi 2345678 Rubik&#39;s Cube Pyramid Maple Leaf Five Magic,"₦ 13,500",,No rating
Phone Holder Magnetic Phone Card Holder Sticker Mount Black,"₦ 3,034",,No rating
OLAF Thin Round 10W Wireless Charger Fast Charging For-Black,"₦ 5,193",,No rating
Bluetoothcompatible Wireless Remote Control ABS Practical Multifunctional Camera Remote For IPhoneBlack,"₦ 2,694",,No rating
E88 Foreign Trade Obstacle Avoidance UAV Folding HD Dual,"₦ 53,300",,No rating
Front Lens Screen Back Glass Replacement Repair Kit-Orange,"₦ 58,000",,No rating
Rotating Mobile Phone Stand Desktop Tik Tok Live Stream Photo Telescopic Folding Lazy Metal Tablet Computer Stand,"₦ 5,753 - ₦ 5,996",,No rating
Key Chain Decorative Double Side Glass Ball Solar System Planet Nebula Keychain Pendant Birthday Gift For Mobile Phone,"₦ 1,634",,No rating
HD USB Webcam Video Recording Built-in Microphone For-Black,"₦ 20,781",,No rating
Practical Shockproof Phone Case Antiscratch Close Fit TPU Phone Protective Case For IPhone1313mini13Pro13ProMax,"₦ 1,460",,No rating
Key Chain Charm Nonfading Wide Application Love Heart Cute 3D Strawberry Bell Mini Backpack Pendant For Girl,"₦ 2,920",,No rating
Thickened Mobile Phone Waterproof Bag Waterproof Phone Set Airbag Swimming Shooting Mobile Phone Waterproof Cover,"₦ 5,238",,No rating
Smart Wrist Watch Bluetooth GSM Phone For Android Samsung IPhone green,"₦ 6,797",,No rating
SIM Card Removal Anti-scratch SIM Card Tray Open Pink,"₦ 1,820",,5
Y30 Bluetooth Wireless Earphone Earbuds For Samsung IPhone Apple Xiaomi Huawei Vivo IOS/Android-Black,"₦ 6,225",,No rating
Luminescent Bead Bracelet for iWatch - Compatible with I Watch Series 1-7 and SE-Rose Gold,"₦ 27,998",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 3,352",,No rating
Qiyi 2345678 Rubik&#39;s Cube Pyramid Maple Leaf Five Magic,"₦ 6,500",,No rating
24 7 FASHION Portable Foldable Mini Desktop Tripod Phone Holder with 3 Sections Extendable Adjustable Phone Clip Length for Smartphone Vlog Recording Selfie Live Stream,"₦ 15,677",,No rating
TF Hybrid Sim Slot Dual SIM Card Adapter Micro SD Extender,"₦ 1,738",,No rating
Western Cowboy Stainless Steel and Metal Denim Bracelet for I Watch - Compatible with Series 9/8/7/6/5/4/3/2/1 SE-Gold,"₦ 18,089",,No rating
Finger Ring Phone Holder 360 Degree Rotatable Strong Adhesiveness Universal Mini Rhinestone Finger Ring Phone Back Sticker Pad Bracket For Outdoor,"₦ 1,321",,No rating
Smart Wrist Watch Bluetooth GSM Phone For Android Samsung IPhone (green),"₦ 7,107",,No rating
SHARE THIS PRODUCT   Shipped From Abroad 5.0 Bluetooth Earphones LED Display Touch Control Headset,"₦ 23,844",,No rating
AV To HDMI Video Signal Converter AV2HDMI Av To Hdmi Av To,"₦ 11,400",,No rating
Mobile Wallet Case Back of Phone Cell Phone Card Holder Blue,"₦ 5,311",,No rating
Shipped From Abroad F9 Portable LED Power Display Wireless Bluetooth 5.0-Black,"₦ 7,785",,No rating
IWatch91 With DiamondEncrusted Metal Watch Band  D Full Of Diamonds Five Beads DesignRose Gold,"₦ 20,254",,No rating
Cross-border New Electric Foot Grinder Beauty Foot,"₦ 16,400",,No rating
Phone Screen Magnifier Foldable High Clearly Image Portable Phone Video Amplifier Stand Bracket For Watching TV-White,"₦ 12,578",,No rating
AV To HDMI Video Signal Converter AV2HDMI Av To Hdmi Av To,"₦ 13,500",,No rating
M06 Full Face Skull Protective Mask For Men And Women,"₦ 33,400",,No rating
Battery Case for Apple Vision Pro Soft Silicone Protective Cover Apple White,"₦ 6,012",,No rating
QCY T1C  5.0  Headphone True Wireless Headphones With Dual,"₦ 28,780",,No rating
Strong Contruction PC 3-layers Close Fit Phone Case Shockproof Phone Protector For IPhone 13 Mini/13/13 Pro/13Pro Max-Light Grey,"₦ 12,578",,No rating
Card Reader 4-in-1 OTG Function Mini USB/Micro USB/8 Pin/Type-C TF/Memory Card Reader For Android-Black,"₦ 13,581",,No rating
For Microsoft Surface Laptop 3 / 4 4 in 1 Bottom Case Rubber,"₦ 20,791",,No rating
Fashion Women Crocodile Faux Leather Clutch Bag Phone-Black,"₦ 2,255",,No rating
1 Pair Charging Cable Protector Durable Anti-tangle-Yellow,"₦ 1,670",,3
Phone Screen Magnifier 5D Visual Effect Foldable PVC 8 Inch 2-4 Times High Clarity Video Amplifier For Watching TV-White,"₦ 12,578",,No rating
Shockproof Armor Case For Infinix Note 40 Pro VIP 12 G96 Hot 40i Play 20i S Zero 30 CAMON 30 4G PRIME CL6 7 Magnetic Cover Ring,"₦ 17,819",,No rating
IWatch9-1 With Diamond-Encrusted Metal Watch Band - D Full Of Diamonds Five Beads Design-Rose Gold,"₦ 20,737",,No rating
2 in 1 360 Rotating LCD Screen Rear Cover Separator,"₦ 118,618",,No rating
Mobile Phone Holder Adjustable 360 Degree Rotatable Universal Bike Bicycle Bracket Mount Stand For Cycling-Yellow,"₦ 12,980",,No rating
(Men's)2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 25,650",,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth Inear Earbuds,"₦ 11,611",,No rating
JC V1SE Mobile Phone Code Reading Programmer For iPhone,"₦ 368,128",,No rating
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 33,400",,No rating
1 Pair Finger Covers Universal Breathable Ultrathin Game Controller Fingertips Sleeves Thumb Gloves For GamerRed,"₦ 35,666",,No rating
Shock-proof Phone Case Easy Use TPU All-inclusive Lifted Edge Protective Shell Cover For IPhone 12/12 Pro/12 Mini/12 Pro Max/11/11 Pro/11 Pro Max/X/XS/XR/XR/7/8/7P/8P-Green,"₦ 13,000",,No rating
Phone Strap Pendant Nonfading Decorative Skinfriendly Phone Chain Lanyard Charm Decor For Access CardCreamcoloured,"₦ 1,529",,No rating
Phone Lens Film Cover Antiscratch High Clarity Selfadhesive Smart Phone Rear Lens Ultrathin Tempered Film For IPhone 13 Mini13 Maxfor 13 Pro13 Pro Max,₦ 817,,No rating
For Tecno Pova 6 Neo  Pova 6  Pova 6 Pro LI9  Coque Protective Cover With Ring Iron Sheet Magnetic Sticker Magnetic cooling,"₦ 11,753",,No rating
Phone Radiator Fan Game Cooler System Quick Cooling Fan Black,"₦ 12,170",,No rating
2pcs For Sony WH-CH710N/CH720N/CH700N Headset Earmuffs,"₦ 14,557",,No rating
Dustproof Anti Dust Plug 3.5mm Earphone Jack Sim Card,₦ 700,,No rating
5Pcs Card Pin Universal Anti-lost 12mm Mobile Phone SIM Card Remover Tray Eject Tool For Tablet-Black,"₦ 25,650",,No rating
Shock-proof Phone Case Easy Use TPU All-inclusive Lifted Edge Protective Shell Cover For IPhone 12/12 Pro/12 Mini/12 Pro Max/11/11 Pro/11 Pro Max/X/XS/XR/XR/7/8/7P/8P-Black,"₦ 33,400",,No rating
"360° Rotating Display Turntable For Watch, Shoe, Mannequin, Phones","₦ 34,796",,No rating
USB Powered Soundbar Desktop Speaker Wired Computer Sound,"₦ 19,456",,No rating
Y30 Bluetooth Wireless Earphone Earbuds For Samsung IPhone Apple Xiaomi Huawei Vivo IOS/Android-Black,"₦ 6,225",,No rating
Shock-proof Phone Case Easy Use TPU All-inclusive Lifted Edge Protective Shell Cover For IPhone 12/12 Pro/12 Mini/12 Pro Max/11/11 Pro/11 Pro Max/X/XS/XR/XR/7/8/7P/8P-Pink,"₦ 33,400",,No rating
Battery Case for Apple Vision Pro Soft Silicone Protective Cover Apple Black,"₦ 6,012",,No rating
360° Rotating Display Turntable For Watch Shoe Mannequin Phones Jewelry,"₦ 42,182",,No rating
Phone Case Multifunctional Shock-proof Electroplated Phone Soft TPU Magnetic Fold Bumper Cover With Finger Ring Holder For Samsung Galaxy Flip 3-Grey,"₦ 12,578",,No rating
5Pcs Card Pin Universal Antilost 12mm Mobile Phone SIM Card Remover Tray Eject Tool For TabletBlack,"₦ 1,529",,No rating
DL03 Phone Radiator Quick Cooling High-speed Rotation Universal Semiconductor Mini Phone Cooling Holder For Gaming-Green,"₦ 24,980",,No rating
Finger Ring Holder Cute Bear Shape Foldable PortableBlack,"₦ 2,902",,No rating
