Name,Discount_price,Old_price,Rating_stars
Sliding Camera Cover Phone Case For Honor 200 Lite Global,"₦ 6,848",,No rating
B32 2 In 1 Bluetooth 5.0 TV Computer Wireless Audio Bluetooth Adapter Bluetooth Transmitter Receiver,"₦ 9,080",,No rating
U Type Adapter Dual 3.5 MM Headphone Plug Audio Cables Splitter Microphone 2in1,"₦ 30,885",,No rating
D-188 3 In 1 TF & USB To Micro USB & Type-C Card Reader OTG Adapter Connector(Black),"₦ 5,430",,No rating
Oraimo 27000mAh 15W Fast Charging Powerbank,"₦ 25,650",,No rating
"8 Pin Female to USB-C / Type-C Male Adapter Gen3, Supports PD for iPhone 15 Series","₦ 5,676",,No rating
2 In 1 IPhone To Headset And Charging Adapter,"₦ 6,390",,5
LONIO 20000Amh Superior Power Bank Saver,"₦ 51,500",,4
New Age 33000mah 22.5w Fast Charging Powerbank With Torchlight,"₦ 32,000",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 47,000",,No rating
Ldnio Fast Desktop Charger 4 Ports 100w 150cm,"₦ 58,000",,No rating
Stone Stobe 20000mah Fast Charging Powerbank,"₦ 18,049",,No rating
New Age 12500mAh Quick Charge Powerbank With Type-C In & Out,"₦ 12,349",,No rating
USB Bluetooth 5.0 Music Transmitter Receiver 2-in-1 TV Bluetooth transmitter,"₦ 18,287",,No rating
Type C  Adapter USB C Connector Type-C OTG Male to USB 2.0 Female Data for Macbook Air M1 Pro Samsung Xiaomi Huawei Phone-5X Type-C,"₦ 38,955",,No rating
50cm Usb Cable Charger for MOTOROLA RAZR V3a V3 V3c V3e V3i V3m V3r H700 MING Q Q2 Z6 Z3 Z6tv Z8 V360 V365 W755 SR L7 L71,"₦ 37,600",,No rating
2 In 1 TypeC To Audio 3.5mm Headphone JackRose Gold,"₦ 1,553",,No rating
Round Magnetic Cable Plug 8 Pin Type C Micro USB C Plugs Fast Charging Phone Magnet Charger Plug For IPhone 1m Line ChargeringOnly Plug For Micro,"₦ 156,978",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
itel 20000mAh Dual Output Fast Charging Power Bank,"₦ 18,999",,No rating
Dual Wireless Microphone For IPhone & Type-C Android,"₦ 17,000",,No rating
New Age 22500mA 83Wh Quick Charge Type-C Input Strong Power Bank,"₦ 17,099",,No rating
