Name,Discount_price,Old_price,Rating_stars
Toshiba HD Smart VIDAA BEZELLESS TV 32 Inch Built-In Receiver  -Netflix-Youtube-Prime Video 32V35KW + 2 Years Warranty,"₦ 199,999","₦ 273,200",4
Onn Google TV HD Streaming Box 2023,"₦ 59,700",No old_price,4.8
Amani 43” 4k UHD ANDROID Smart LED TV Netflix YouTube Apps Free Gift Inside Amani,"₦ 237,490","₦ 1,257,890",5
XIAOMI Mi Box S - 4K HDR Android TV With Google Assistant Remote Streaming Media Player,"₦ 105,000",No old_price,4.7
Hisense 43 Inch Full HD LED TV + Free Wall Bracket -,"₦ 298,900","₦ 378,000",4.5
"Amani 55""INCHES FULL HD SMART TV AMANI","₦ 450,590","₦ 1,298,009",4.3
TCL Premium 55inch  4K HDR  Google Android  Smart TV,"₦ 625,900","₦ 895,000",4.8
Sonix 55-Inch 4k UHD Android Smart TV + Free Wall Bracket,"₦ 439,311","₦ 632,785",4.3
Free To Air Digital Satellite Channels Tiger Decoder,"₦ 30,000","₦ 30,500",5
Hikers 32'' Frameless Android Smart HD LED TV - Black + 1 Year Warranty,"₦ 145,748","₦ 175,600",No rating
Hisense 43″ Full High Definition LED SMART TV With WiFi,"₦ 415,500","₦ 420,500",4.5
Samsung 50 Inch   4K Crystal UHD HDR+ Smart TV,"₦ 620,900","₦ 770,000",5
"Hisense 32"" LED HD TV Bezelless Design, + Free Wall Bracket","₦ 210,500","₦ 215,000",No rating
XIAOMI TV Box S (2nd Gen) 4K Ultra HD Streaming Media Player,"₦ 85,000",No old_price,4.8
"Hisense 75''Inches Smart QLED 4K TV Netflix, Youtube & DSTV","₦ 1,898,000","₦ 2,890,000",5
Google CHROMECAST WITH GOOGLE TV 4K,"₦ 109,000",No old_price,5
"Rock 43"" 4k SMART ANDROID UHD LED TV WITH BLUETOOTH","₦ 229,950","₦ 285,599",4.8
Hisense 43″ Full High Definition LED SMART TV With WiFi - 43,"₦ 355,900","₦ 489,000",4
"Hisense 50''Smart UHD 4K TV+Bluetooth,Netflix,Youtube&DSTV Now APP-","₦ 569,000","₦ 779,058",4.5
Sonix 43 Inches - Super HD Android Smart Frameless TV + Wall Hanger + HDMI,"₦ 220,042","₦ 374,988",No rating
"4K 1080P HDTV Digital TV Antenna,3600 Mile Signal Amplifier","₦ 11,200","₦ 18,900",1.5
"Sonix 40"" INCHES SMART FULL HD LED TV + WALL HANGER [Classy]","₦ 217,850","₦ 320,000",5
Samsung 50” Crystal UHD 4K Smart TV 50,"₦ 629,000","₦ 890,000",5
Hisense 65'' 4K UHD Smart TV +Free Wall Bracket-,"₦ 869,900","₦ 990,000",3.9
"Vision 55"" INCHES SMART UHD 4K TV","₦ 453,490","₦ 1,290,000",3.6
Hisense 32 Inch LED HD TV & Wall Bracket (1 Year Warranty),"₦ 170,900","₦ 199,000",4
"Skyrun 43"" Inches Smart LED UHD 4K TV + Free Wall Bracket - Gold","₦ 255,990","₦ 356,980",4.2
LG Digital DVD PLAYER WITH USB AND LAST MEMORY,"₦ 22,999",No old_price,No rating
Scanfrost 32-Inch LED Television SFLED32CL,"₦ 160,000",No old_price,4.6
"Hisense 43 INCHES UHD SMART,YOUTUBE ,NETFLIX TELEVISION","₦ 365,000","₦ 405,000",No rating
UFC 55-Inch 4k Android Smart UHD TV,"₦ 474,900","₦ 950,000",4.7
Hisense 43” UHD 4K SMART TV (43A6H),"₦ 415,500","₦ 420,000",5
Sonix 32 Inch Super HD LED TV + Wall Hanger,"₦ 130,850","₦ 170,000",5
"Polystar 55"" Inch Curved Smart 4K UHD TV","₦ 650,000",No old_price,5
"Hisense 65""inches UHD Smart 4K Netflix TV, 2 Years Warranty","₦ 990,000","₦ 12,000,000",No rating
Hikers 50'' Inch Frameless Android Smart 4K LED TV-Black+WALLMOUNT - One Year Warranty,"₦ 374,028","₦ 403,880",No rating
Energy 43” 4k UHD ANDROID Smart LED TV Netflix YouTube Apps Free Gift Inside,"₦ 233,889","₦ 1,257,890",3.8
Samsung 55inch Ultra High Definition Class Smart UHD LED 4K HDR TV,"₦ 728,000","₦ 895,000",5
"Hisense 43''Smart TV With Bluetooth,Netflix,Youtube (promo","₦ 355,500","₦ 449,000",4.5
UFC 32 Inches  Smart Bluetooth Tv Frameless Black 2023,"₦ 198,000",No old_price,4.4
Hisense 58 Inch UHD 4K Smart,"₦ 675,000","₦ 899,000",5
TCL 43-Inch Android Smart FHD TV + 12 Months Warranty,"₦ 364,000","₦ 495,000",4.4
TCL TV 55 UHD GOOGLE BLACK,"₦ 553,000","₦ 690,000",5
Amani 43”UHD ANDROID Smart LED TV Netflix YouTube+Free Gift Inside,"₦ 245,990","₦ 1,257,890",4.5
"Hisense 55 INCH UHD 4K SMART, YOUTUBE, NETFLIX, BLUETOOTH TV","₦ 675,000","₦ 756,750",No rating
LG Powerful DVD Player Dv 505 With Last Memory-PERFECT,"₦ 22,000","₦ 25,000",No rating
Sonix 40 Inches Super HD Smart TV,"₦ 217,850","₦ 250,000",3.8
"8K 4K HDTV Digital TV Antenna,  420 Miles Signal Booster","₦ 23,200","₦ 32,800",1
Samsung 32 Inch HD Smart TV- WiFi Inbuilt/ Energy Saving,"₦ 300,000",No old_price,5
"UFC 55"" Inches 4K TV Ultra-HD  LED Smart TV High Quality PROMO","₦ 491,990","₦ 550,000",4.2
Hd Box H265 +2set Of Free To Air Satellite Kits,"₦ 50,000","₦ 51,000",3
"UFC 32"" Inches Smart TV  FRAMLESS +1 Years Warranty -2024","₦ 175,499",No old_price,5
Viewsat 4922 Free To Air Receiver Digital Satellite Channels Decoder,"₦ 30,000","₦ 30,500",5
"Transpeed Ultra Modern HY300 Pro Smart Projector Wifi, HDMI, Bluetooth, Android TV Smart Controls.","₦ 129,990","₦ 200,000",No rating
Samsung New DVD PLAYER  WITH USB PORT AND LAST MEMORY,"₦ 22,800","₦ 27,000",4.3
"Hisense 58 INCH UHD 4K SMART, YOUTUBE, NETFLIX, BLUETOOTH TV","₦ 690,000","₦ 778,950",5
"UFC 43 Inches Smart TV + Netflix, YouTube 4K+ Free Wall Bracket","₦ 318,290","₦ 900,000",3.9
"Sonix 43"" INCHES ANDRIOD SMART FULL HD LED TV + WALL HANGER","₦ 224,798","₦ 474,580",3
"Hisense 85''Smart UHD 4K TV+Bluetooth,Netflix,Youtube&DSTV Now APP","₦ 2,396,000","₦ 2,983,985",4.5
Sonix 43 Inch Super FULL HD SMART TV + Wall Hanger,"₦ 223,324","₦ 281,228",4.4
