Name,Discount_price,Actual_price,Rating_stars
itel 30000mAh Powerbank With 22.5W Fast Charging Powerbank,"₦ 27,700","₦ 40,000",4.2
XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Sage Green,"₦ 174,320","₦ 450,000",4.1
"Phone Cooler, Cellphone Radiator With Cooling Fan","₦ 4,998","₦ 9,995",3.8
V9 Earhook Wireless Bluetooth Earphone Headphone Headset,"₦ 4,512","₦ 9,892",3.8
"Oraimo 20,000MAH (P204D) Type C & USB Port Powerbank, Black","₦ 17,750","₦ 26,000",4
TiLECC BT30 ENC Noise Canceling Wireless Bluetooth Earbuds HiFi Stereo Headphones,"₦ 6,961","₦ 12,999",3.4
"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 93,702","₦ 139,000",4
Portable Tripod Stand 1.35m Height With Phone Clamp Remote,"₦ 18,340","₦ 33,020",4.4
Oraimo FreePods Neo ENC True Wireless Earbuds,"₦ 21,900","₦ 42,083",4.3
TiLECC 2 In 1 Touch Screen Sport Smart Watch With Headphones,"₦ 17,196","₦ 33,687",3.6
Ace Elec MAGSAFE 10000mAh 5W Wireless Charging -Magnetic Power Ban-k,"₦ 11,000","₦ 25,000",4.3
Pro6 Wireless Earbuds Bluetooth 5.3 Noise Reduction Earphone - White,"₦ 6,860","₦ 12,518",3.3
P47 Wireless Bluetooth Headphones,"₦ 5,990","₦ 11,380",3.7
Full Touch Screen Smart Watch - For Android & IOS,"₦ 10,900","₦ 19,999",3.5
TiLECC Wireless Bluetooth Earphones AIR13PRO-black,"₦ 5,999","₦ 12,999",3.2
GUIXIA Pro3 In-ear Wireless Bluetooth Headsets Headphones I13,"₦ 4,999","₦ 6,466",3.7
Air 3 Pro Wireless Bluetooth Earphone Earbuds For Android & IOS,"₦ 5,400","₦ 9,206",3.7
"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Green","₦ 105,210","₦ 150,000",4.5
50W Dual Type C Lighting Super Fast Original Charger For Iphone 15/5pro/15promax/14 Pro Max/14 Plus/14/13 Pro Max/13 Pro/13/13 Mini/12 Pro Max/12 Pro/12/12 Mini/11 Pro Max/11 Pro/11 And Ipads 0014,"₦ 5,990","₦ 8,750",3.9
Wrist Smart Watch Bands Bracelet Strap-White,"₦ 5,806","₦ 6,968",3.2
Wireless Headset Bluetooth Earphone,"₦ 4,880","₦ 8,950",3.6
F9 Fingerprint Touch Bluetooth Earphone Power LED 2600mAh,"₦ 4,950","₦ 9,600",3.8
itel 5W Charger With Free Cable - Black,"₦ 2,990","₦ 5,000",3.9
Tripods Stand Selfie Sticks Phone Stand Camera Tripods Live Streaming Stand Holder + Bluetooth,"₦ 13,758","₦ 22,534",3.6
XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Midnight Black,"₦ 176,320","₦ 300,000",4.4
Timack M10 Wireless Fingerprint Touch Bluetooth Headset Bluetooth Earphone Earbuds,"₦ 5,594","₦ 11,000",3.5
Wireless Earphones Bluetooth 5.3 Slide Cover,"₦ 4,950","₦ 7,900",3.5
itel PowerPulse A1460 Power-Bank 20000mAh 20W Fast Charging Type-C,"₦ 21,000","₦ 35,000",4.4
"C900 Ultra Smart Watch, Full Touch Screen Bluetooth Call Outdoor Sports Watches","₦ 9,500","₦ 19,999",4.2
Multi-Function Bluetooth Speakers With Digital Alarm Clock,"₦ 12,660","₦ 24,050",4.1
"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Midnight Black","₦ 132,785","₦ 700,000",4.2
GUIXIA  Air31 Wireless Bluetooth 5.3 In Ear Transparent Earphones,"₦ 4,999","₦ 6,138",3.5
Zealot S51 Portable Wireless Bluetooth Speaker IPX5 Waterproof,"₦ 27,550","₦ 49,590",4
BT Selfie Stick Foldable Tripod 360° Rotation,"₦ 4,990","₦ 9,480",3.9
Realme Note 50 Dual SIM 3GB RAM 64GB 4G,"₦ 112,692","₦ 139,500",4.2
Oraimo FreePods 4 Active Noise Cancellation Earbuds,"₦ 45,218","₦ 85,480",4.4
TiLECC Wireless Earphones Bluetooth 5.3 Slide Cover Long Life,"₦ 5,927","₦ 10,349",3.4
Desktop Adjustable Mobile Phone Holder Netflix Zoom Tiktok,"₦ 3,500","₦ 4,900",4
Over-Ear With Earhooks Wireless Bluetooth Earphones Earpod,"₦ 13,880","₦ 17,774",4.3
5-in-1 USB Cable Fast Charging  For Apple/Android/Type-C,"₦ 5,270","₦ 10,010",4.2
Bro Toumi F9 Bluetooth Wireless Earphone With 2000mAh Battery Headset - Black Xl,"₦ 4,340","₦ 5,999",3.3
Wireless Bluetooth Noise Cancelling Earbuds HiFi Stereo Headphones,"₦ 6,743","₦ 12,135",4.5
Oraimo Rock stereo Bass Super Long Playtime IPX5 Waterproof True Wireless Ear bud,"₦ 14,300","₦ 18,500",4.3
Tripod Stand Selfie Stick Bluetooth Remote Adjustable Phone Camera Stand Holder,"₦ 13,758","₦ 26,886",3.4
"Tecno Spark 30 Pro KL7 6.78"" 8GB RAM/128GB ROM Android 14 - Obsidian Edge","₦ 249,075","₦ 500,000",4.2
itel SONES TWS A10 Earbuds-Black,"₦ 9,500","₦ 18,000",4
GUIXIA Wireless Bluetooth Headsets Earphones Inpods12,"₦ 3,514","₦ 5,218",3.6
"Tecno Spark 30C 6.6""4GB RAM/128GB ROM Android 14 - White","₦ 152,070","₦ 200,000",4.3
Goodtel Tablet  Android 13 10.1'' 64GB（1TB Expandable) Black 10GB RAM OctaCore 2.0Ghz 2.4G+5G WIFI With Case Keyboard,"₦ 145,780","₦ 347,000",4.3
TiLECC T800 Smart Watch Ultra 8 Door Access  Smartwatch Series 8,"₦ 10,768","₦ 18,924",3.6
"XIAOMI Redmi A3x 6.71"" 3GB RAM/64GB ROM Android 14 - Black","₦ 105,210","₦ 150,000",4
Pro3 In-ear Wireless Sports Headphones Noise Reduction Stereo Headphones,"₦ 6,600","₦ 12,076",3.7
Zealot S53 Mini Bluetooth Speaker Portable Waterproof Stereo,"₦ 30,290","₦ 57,560",4.2
"XIAOMI Redmi A3 Pro 6.88"" 4GB RAM / 128GB ROM Android 14 - Navy Blue","₦ 132,785","₦ 400,000",4.2
Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 130,044","₦ 159,900",4
Phone Cooler Wireless Silent Cooling Clip For Gaming,"₦ 8,690","₦ 16,510",4
"XIAOMI Redmi A3x 6.71"" 4GB RAM/128GB ROM Android 14 - White","₦ 121,600","₦ 180,000",4.1
XIAOMI Redmi 14C 6.88'' 8GB RAM/256GB ROM Android 12-Starry Blue,"₦ 176,320","₦ 350,000",3.5
Smart   Watch  Men Women Blood Pressure Waterproof  Fitness,"₦ 6,054","₦ 7,264",3
XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Midnight Black,"₦ 155,320","₦ 250,000",3.8
itel Super Slim 10000mAh 2.1A Fast Charging Power Bank,"₦ 9,750","₦ 20,000",4.2
Portable Power Banks 10000mAh Waterproof Dual USB Output,"₦ 5,829","₦ 11,429",3.5
Usb Android Smartphones  Fast Charger Adaptive Amazing CHARGER 0036,"₦ 2,490","₦ 5,270",3.4
TiLECC Bluetooth Air PRO3 Wireless Headset HIFI Fashion Earphone,"₦ 5,999","₦ 9,500",3.6
Foldable Mobile Phone Holder And Tablet Stand-Black,"₦ 2,500","₦ 5,000",4
Ace Elec MAGSAFE 10000mAh 15W Wireless Charging Magnetic Power Bank,"₦ 12,500","₦ 25,000",4.1
"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 145,440","₦ 250,000",4.2
"itel S23+ 6.78"" FHD 8GB RAM/256 ROM Android 12 - Blue","₦ 198,000","₦ 280,000",4.4
itel SONES TWS WE02E Earbuds,"₦ 12,000","₦ 25,000",4.3
