Name,Discount_price,Actual_price,Rating_stars
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000",No old_price,5
"Hp CHROMEBOOK, INTEL CELERON, 4GB RAM,16GB EMMC + BAG","₦ 120,000","₦ 140,000",4.3
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 349,000",3
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 220,000","₦ 280,000",3.6
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,421,800",No old_price,3.3
Hp EliteBook 840 G6 Intel Core I5 16GB RAM/512GB SSD/Backlit Keyboard/ Touch FP Reader Wins 11 Pro,"₦ 585,000","₦ 780,900",3.9
Hp Notebook 11 Pro G5 TOUCHSCREEN-512GB SSD 4GB RAM- Intel Celeron - Windows 10 Pro + Bag,"₦ 250,000","₦ 600,000",4
Hp EliteBook 840 G5 Intel Core I5-16GB RAM-256GB SSD-Backlit Keyboard 11 Pro+BAG,"₦ 485,000","₦ 590,000",4.5
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 240,000","₦ 620,000",1
DELL Latitude 7490 512GB SSD/16GB RAM/ Intel Core I5/ BACKLIGHT KEYBOARD-WIN 11PRO+BAG,"₦ 700,000","₦ 880,000",5
Hp ProBook 11 X360- TOUCH- 128GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro,"₦ 205,000","₦ 400,000",2.7
Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5-16GB RAM/512GB SSD/ Backlit Keyboard/Windows11Pro+BAG,"₦ 530,000","₦ 990,000",4
"DELL Refurbished Dell Latitude E5470 14-Inch Laptop (Intel Core-i5-6300U Upto 3.0 GHz, 8GB RAM 256GB ROM..","₦ 272,290","₦ 350,000",No rating
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 585,000","₦ 730,000",5
Hp Notebook 11 Pro G5 TOUCH-512GB SSD 4GB RAM- Intel Celeron,"₦ 250,000","₦ 614,000",3.5
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 16GB WINS 10,"₦ 135,000",No old_price,No rating
Hp ELITEBOOK X360 1030 G3 INTEL CORE I5 1TB SSD/8GB RAM BACKLIT KEYBOARD FP READER WIN 11 PRO+BAG,"₦ 755,000","₦ 800,000",3.3
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 128GB SSD 8GB WIN 11 Pro","₦ 220,000","₦ 468,731",5
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 510,000","₦ 799,000",4
Hp  Stream 11 Pro Intel Celeron 4GB RAM- 64GB HDD WIN 10+ BAG,"₦ 145,000","₦ 250,000",5
Hp Stream 11 64GB 4GB,"₦ 170,000",No old_price,4.5
Hp EliteBook 830 G6 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 475,000","₦ 778,000",4.5
